run_id	created_utc	status	tool_id	dataset_alias	notes
immunotherapy_20260207_121552	2026-02-08T05:06:32Z	completed	toolshed.g2.bx.psu.edu/repos/goeckslab/tabular_learner/tabular_learner/0.1.4	chowell_v1	legacy_path=artifacts/immunotherapy_20260207_121552
run_20260207_121552_legacy	2026-02-08T05:06:32Z	completed	toolshed.g2.bx.psu.edu/repos/goeckslab/tabular_learner/tabular_learner/0.1.4	chowell_v1	wrapper_path=experiments/exp_immunotherapy_chowell_tabular_learner/runs/run_20260207_121552_legacy
