B9J08_05594	3
B9J08_05593	299
B9J08_05592	31
B9J08_05591	13
B9J08_05590	4438
B9J08_05589	14
B9J08_05588	1041
B9J08_05587	111
B9J08_05586	53
B9J08_05585	1458
B9J08_05584	1422
B9J08_05583	489
B9J08_05582	1111
B9J08_05581	1073
B9J08_05580	6501
B9J08_05579	1894
B9J08_05578	3980
B9J08_05577	1100
B9J08_05576	44993
B9J08_05575	280
B9J08_05574	255
B9J08_05573	365
B9J08_05572	2757
B9J08_05571	423
B9J08_05570	1246
B9J08_05569	590
B9J08_05568	354
B9J08_05567	93
B9J08_05566	764
B9J08_05565	1463
B9J08_05564	460
B9J08_05563	1759
B9J08_05562	6
B9J08_05561	1760
B9J08_05560	4643
B9J08_05559	83
B9J08_05558	7502
B9J08_05557	2911
B9J08_05556	281
B9J08_05555	1461
B9J08_05554	1046
B9J08_05553	1198
B9J08_05552	943
B9J08_05551	883
B9J08_05550	2640
B9J08_05549	796
B9J08_05548	1426
B9J08_05547	455
B9J08_05546	4174
B9J08_05545	308
B9J08_05544	2579
B9J08_05543	1041
B9J08_05542	5146
B9J08_05541	219
B9J08_05540	435
B9J08_05539	777
B9J08_05538	1225
B9J08_05537	2839
B9J08_05536	3151
B9J08_05535	2602
B9J08_05534	84
B9J08_05533	235
B9J08_05532	714
B9J08_05531	2212
B9J08_05530	1765
B9J08_05529	8963
B9J08_05528	745
B9J08_05527	3590
B9J08_05526	0
B9J08_05525	552
B9J08_05524	749
B9J08_05523	411
B9J08_05522	3025
B9J08_05521	439
B9J08_05520	351
B9J08_05519	25
B9J08_05518	1742
B9J08_05517	9
B9J08_05516	1984
B9J08_05515	6013
B9J08_05514	972
B9J08_05513	1374
B9J08_05512	1889
B9J08_05511	3490
B9J08_05510	704
B9J08_05509	2155
B9J08_05508	144
B9J08_05507	1678
B9J08_05506	4255
B9J08_05505	3892
B9J08_05504	3220
B9J08_05503	16444
B9J08_05502	71
B9J08_05501	2356
B9J08_05500	546
B9J08_05499	643
B9J08_05498	1036
B9J08_05497	484
B9J08_05496	1866
B9J08_05495	1510
B9J08_05494	8017
B9J08_05493	3012
B9J08_05492	127
B9J08_05491	73494
B9J08_05490	3849
B9J08_05489	170
B9J08_05488	14656
B9J08_05487	9734
B9J08_05486	3269
B9J08_05485	734
B9J08_05484	987
B9J08_05483	6699
B9J08_05482	385
B9J08_05481	394
B9J08_05480	1882
B9J08_05479	2037
B9J08_05478	208
B9J08_05477	4697
B9J08_05476	1335
B9J08_05475	7
B9J08_05474	3097
B9J08_05473	371
B9J08_05472	1044
B9J08_05471	856
B9J08_05470	16
B9J08_05469	15276
B9J08_05468	651
B9J08_05467	90
B9J08_05466	364
B9J08_05465	262
B9J08_05464	665
B9J08_05463	9789
B9J08_05462	266
B9J08_05461	7734
B9J08_05460	4929
B9J08_05459	2528
B9J08_05458	1155
B9J08_05457	1344
B9J08_05456	263
B9J08_05455	1408
B9J08_05454	3175
B9J08_05453	4132
B9J08_05452	1873
B9J08_05451	420
B9J08_05450	1373
B9J08_05449	2591
B9J08_05448	1210
B9J08_05447	568
B9J08_05446	6429
B9J08_05445	7937
B9J08_05444	762
B9J08_05443	555
B9J08_05442	801
B9J08_05441	371
B9J08_05440	3643
B9J08_05439	15835
B9J08_05438	3951
B9J08_05437	4
B9J08_05436	2776
B9J08_05435	505
B9J08_05434	4517
B9J08_05433	2273
B9J08_05432	44409
B9J08_05431	2890
B9J08_05430	43020
B9J08_05429	118
B9J08_05428	0
B9J08_05427	184
B9J08_05426	0
B9J08_05425	187
B9J08_05424	3742
B9J08_05423	58
B9J08_05422	782
B9J08_05421	4255
B9J08_05420	317
B9J08_05419	916
B9J08_05418	747
B9J08_05417	12
B9J08_05416	3250
B9J08_05415	170
B9J08_05414	3848
B9J08_05413	1759
B9J08_05412	43
B9J08_05411	7374
B9J08_05410	1038
B9J08_05409	13969
B9J08_05408	841
B9J08_05407	518
B9J08_05406	828
B9J08_05405	638
B9J08_05404	2319
B9J08_05403	351
B9J08_05402	6543
B9J08_05401	1304
B9J08_05400	7124
B9J08_05399	66
B9J08_05398	13
B9J08_05397	1497
B9J08_05396	733
B9J08_05395	522
B9J08_05394	1187
B9J08_05393	475
B9J08_05392	916
B9J08_05391	1003
B9J08_05390	1182
B9J08_05389	2120
B9J08_05388	0
B9J08_05387	46
B9J08_05386	840
B9J08_05385	3292
B9J08_05384	2038
B9J08_05383	1056
B9J08_05382	394
B9J08_05381	4176
B9J08_05380	701
B9J08_05379	1258
B9J08_05378	2221
B9J08_05377	61471
B9J08_05376	559
B9J08_05375	7528
B9J08_05374	3700
B9J08_05373	21938
B9J08_05372	1448
B9J08_05371	1213
B9J08_05370	647
B9J08_05369	2134
B9J08_05368	1620
B9J08_05367	2414
B9J08_05366	555
B9J08_05365	812
B9J08_05364	5190
B9J08_05363	1781
B9J08_05362	542
B9J08_05361	9299
B9J08_05360	37508
B9J08_05359	14497
B9J08_05358	4675
B9J08_05357	2980
B9J08_05356	2352
B9J08_05355	25606
B9J08_05354	592
B9J08_05353	575
B9J08_05352	8147
B9J08_05351	1616
B9J08_05350	1157
B9J08_05349	2155
B9J08_05348	1755
B9J08_05347	352
B9J08_05346	1843
B9J08_05345	599
B9J08_05344	2599
B9J08_05343	70
B9J08_05342	288
B9J08_05341	0
B9J08_05340	74
B9J08_05339	5891
B9J08_05338	2287
B9J08_05337	10182
B9J08_05336	1884
B9J08_05335	1368
B9J08_05334	824
B9J08_05333	4924
B9J08_05332	27396
B9J08_05331	5934
B9J08_05330	0
B9J08_05329	3
B9J08_05328	1669
B9J08_05327	4401
B9J08_05326	2611
B9J08_05325	7216
B9J08_05324	508
B9J08_05323	831
B9J08_05322	3712
B9J08_05321	840
B9J08_05320	353
B9J08_05319	54
B9J08_05318	2148
B9J08_05317	5563
B9J08_05316	726
B9J08_05315	374
B9J08_05314	631
B9J08_05313	3716
B9J08_05312	496
B9J08_05311	4018
B9J08_05310	803
B9J08_05309	1209
B9J08_05308	4458
B9J08_05307	71
B9J08_05306	919
B9J08_05305	19
B9J08_05304	539
B9J08_05303	831
B9J08_05302	162
B9J08_05301	16319
B9J08_05300	6408
B9J08_05299	4028
B9J08_05298	141
B9J08_05297	2925
B9J08_05296	1153
B9J08_05295	1058
B9J08_05294	1351
B9J08_05293	384
B9J08_05292	187
B9J08_05291	2092
B9J08_05290	4764
B9J08_05289	150
B9J08_05288	3004
B9J08_05287	40194
B9J08_05286	23744
B9J08_05285	1154
B9J08_05284	597
B9J08_05283	4431
B9J08_05282	1016
B9J08_05281	863
B9J08_05280	477
B9J08_05279	208
B9J08_05278	3614
B9J08_05277	344
B9J08_05276	179
B9J08_05275	526
B9J08_05274	1627
B9J08_05273	3480
B9J08_05272	1720
B9J08_05271	5298
B9J08_05270	1018
B9J08_05269	337
B9J08_05268	5422
B9J08_05267	255
B9J08_05266	266
B9J08_05265	96
B9J08_05264	427
B9J08_05263	479
B9J08_05262	315
B9J08_05261	3
B9J08_05260	40
B9J08_05259	858
B9J08_05258	678
B9J08_05257	6
B9J08_05256	423
B9J08_05255	1772
B9J08_05254	142
B9J08_05253	1910
B9J08_05252	20
B9J08_05251	54
B9J08_05250	15
B9J08_05249	24
B9J08_05248	120
B9J08_05247	0
B9J08_05246	0
B9J08_05245	277
B9J08_05244	508
B9J08_05243	27
B9J08_05242	440
B9J08_05241	6
B9J08_05240	51
B9J08_05239	128
B9J08_05238	4
B9J08_05237	2
B9J08_05236	190
B9J08_05235	5
B9J08_05234	331
B9J08_05233	3
B9J08_05232	452
B9J08_05231	2
B9J08_05230	2010
B9J08_05229	9
B9J08_05228	103
B9J08_05227	442
B9J08_05226	1140
B9J08_05225	10366
B9J08_05224	2354
B9J08_05223	593
B9J08_05222	601
B9J08_05221	200
B9J08_05220	134
B9J08_05219	271
B9J08_05218	3484
B9J08_05217	671
B9J08_05216	668
B9J08_05215	4069
B9J08_05214	1430
B9J08_05213	4381
B9J08_05212	798
B9J08_05211	480
B9J08_05210	2442
B9J08_05209	590
B9J08_05208	1046
B9J08_05207	555
B9J08_05206	162
B9J08_05205	63
B9J08_05204	89
B9J08_05203	93
B9J08_05202	57
B9J08_05201	1162
B9J08_05200	6727
B9J08_05199	2019
B9J08_05198	88
B9J08_05197	1001
B9J08_05196	725
B9J08_05195	1511
B9J08_05194	1873
B9J08_05193	720
B9J08_05192	1309
B9J08_05191	3698
B9J08_05190	1126
B9J08_05189	419
B9J08_05188	67493
B9J08_05187	13354
B9J08_05186	12373
B9J08_05185	15560
B9J08_05184	3686
B9J08_05183	26
B9J08_05182	69
B9J08_05181	2128
B9J08_05180	150
B9J08_05179	175
B9J08_05178	3660
B9J08_05177	2139
B9J08_05176	1627
B9J08_05175	724
B9J08_05174	263
B9J08_05173	607
B9J08_05172	1
B9J08_05171	847
B9J08_05170	218
B9J08_05169	431
B9J08_05168	181
B9J08_05167	2834
B9J08_05166	2421
B9J08_05165	2433
B9J08_05164	2222
B9J08_05163	350
B9J08_05162	3761
B9J08_05161	762
B9J08_05160	664
B9J08_05159	1295
B9J08_05158	394
B9J08_05157	1048
B9J08_05156	825
B9J08_05155	2567
B9J08_05154	1743
B9J08_05153	1164
B9J08_05152	2967
B9J08_05151	1055
B9J08_05150	5018
B9J08_05149	256
B9J08_05148	776
B9J08_05147	9777
B9J08_05146	486
B9J08_05145	24911
B9J08_05144	10
B9J08_05143	1301
B9J08_05142	2334
B9J08_05141	6
B9J08_05140	667
B9J08_05139	9524
B9J08_05138	2949
B9J08_05137	3159
B9J08_05136	6460
B9J08_05135	3668
B9J08_05134	2447
B9J08_05133	739
B9J08_05132	7837
B9J08_05131	458
B9J08_05130	139
B9J08_05129	57002
B9J08_05128	3711
B9J08_05127	2354
B9J08_05126	2689
B9J08_05125	797
B9J08_05124	2433
B9J08_05123	4590
B9J08_05122	462
B9J08_05121	595
B9J08_05120	264
B9J08_05119	56
B9J08_05118	706
B9J08_05117	638
B9J08_05116	980
B9J08_05115	1910
B9J08_05114	1020
B9J08_05113	1694
B9J08_05112	898
B9J08_05111	13784
B9J08_05110	3177
B9J08_05109	2263
B9J08_05108	5
B9J08_05107	436
B9J08_05106	27367
B9J08_05105	181
B9J08_05104	1000
B9J08_05103	1279
B9J08_05102	1581
B9J08_05101	1439
B9J08_05100	419
B9J08_05099	2156
B9J08_05098	2462
B9J08_05097	4101
B9J08_05096	0
B9J08_05095	1242
B9J08_05094	989
B9J08_05093	2949
B9J08_05092	7018
B9J08_05091	1322
B9J08_05090	775
B9J08_05089	940
B9J08_05088	1952
B9J08_05087	224
B9J08_05086	832
B9J08_05085	107550
B9J08_05084	88
B9J08_05083	1494
B9J08_05082	2644
B9J08_05081	155
B9J08_05080	1512
B9J08_05079	948
B9J08_05078	4507
B9J08_05077	695
B9J08_05076	4480
B9J08_05075	1623
B9J08_05074	937
B9J08_05073	1734
B9J08_05072	695
B9J08_05071	6531
B9J08_05070	552
B9J08_05069	525
B9J08_05068	146
B9J08_05067	0
B9J08_05066	0
B9J08_05065	574
B9J08_05064	3607
B9J08_05063	17541
B9J08_05062	550
B9J08_05061	522
B9J08_05060	646
B9J08_05059	546
B9J08_05058	1783
B9J08_05057	320
B9J08_05056	67
B9J08_05055	648
B9J08_05054	6093
B9J08_05053	4087
B9J08_05052	890
B9J08_05051	6481
B9J08_05050	0
B9J08_05049	900
B9J08_05048	1354
B9J08_05047	0
B9J08_05046	1987
B9J08_05045	175
B9J08_05044	6
B9J08_05043	1023
B9J08_05042	1325
B9J08_05041	21
B9J08_05040	5406
B9J08_05039	2013
B9J08_05038	36
B9J08_05037	208
B9J08_05036	380
B9J08_05035	0
B9J08_05034	0
B9J08_05033	550
B9J08_05032	725
B9J08_05031	2256
B9J08_05030	1985
B9J08_05029	1711
B9J08_05028	1172
B9J08_05027	12646
B9J08_05026	1020
B9J08_05025	284
B9J08_05024	1105
B9J08_05023	4649
B9J08_05022	2648
B9J08_05021	2278
B9J08_05020	7193
B9J08_05019	291
B9J08_05018	1183
B9J08_05017	600
B9J08_05016	566
B9J08_05015	756
B9J08_05014	373
B9J08_05013	1125
B9J08_05012	336
B9J08_05011	389
B9J08_05010	566
B9J08_05009	3
B9J08_05008	166
B9J08_05007	620
B9J08_05006	1766
B9J08_05005	1696
B9J08_05004	1
B9J08_05003	110
B9J08_05002	13
B9J08_05001	1317
B9J08_05000	1614
B9J08_04999	2572
B9J08_04998	0
B9J08_04997	67
B9J08_04996	2033
B9J08_04995	2081
B9J08_04994	1295
B9J08_04993	4363
B9J08_04992	8082
B9J08_04991	6714
B9J08_04990	428
B9J08_04989	883
B9J08_04988	4490
B9J08_04987	1582
B9J08_04986	7460
B9J08_04985	4992
B9J08_04984	18397
B9J08_04983	5651
B9J08_04982	1674
B9J08_04981	2148
B9J08_04980	1401
B9J08_04979	12322
B9J08_04978	20983
B9J08_04977	1474
B9J08_04976	12979
B9J08_04975	690
B9J08_04974	821
B9J08_04973	2335
B9J08_04972	6
B9J08_04971	16921
B9J08_04970	1342
B9J08_04969	1279
B9J08_04968	886
B9J08_04967	964
B9J08_04966	882
B9J08_04965	587
B9J08_04964	1127
B9J08_04963	1848
B9J08_04962	2200
B9J08_04961	1228
B9J08_04960	671
B9J08_04959	894
B9J08_04958	123
B9J08_04957	0
B9J08_04956	6
B9J08_04955	1963
B9J08_04954	7
B9J08_04953	1
B9J08_04952	1162
B9J08_04951	2708
B9J08_04950	398
B9J08_04949	7
B9J08_04948	2
B9J08_04947	5
B9J08_04946	4390
B9J08_04945	527
B9J08_04944	1115
B9J08_04943	1504
B9J08_04942	524
B9J08_04941	952
B9J08_04940	773
B9J08_04939	3469
B9J08_04938	336
B9J08_04937	17
B9J08_04936	1633
B9J08_04935	1373
B9J08_04934	20
B9J08_04933	36
B9J08_04932	608
B9J08_04931	5
B9J08_04930	62
B9J08_04929	3
B9J08_04928	5
B9J08_04927	213
B9J08_04926	7138
B9J08_04925	29723
B9J08_04924	12844
B9J08_04923	1870
B9J08_04922	589
B9J08_04921	515
B9J08_04920	300
B9J08_04919	4
B9J08_04918	5692
B9J08_04917	5423
B9J08_04916	1488
B9J08_04915	6
B9J08_04914	39
B9J08_04913	918
B9J08_04912	3420
B9J08_04911	8113
B9J08_04910	281
B9J08_04909	1332
B9J08_04908	327
B9J08_04907	2677
B9J08_04906	2739
B9J08_04905	1609
B9J08_04904	3868
B9J08_04903	3869
B9J08_04902	13022
B9J08_04901	8409
B9J08_04900	39000
B9J08_04899	4016
B9J08_04898	2307
B9J08_04897	1341
B9J08_04896	5
B9J08_04895	411
B9J08_04894	146
B9J08_04893	698
B9J08_04892	3729
B9J08_04891	1083
B9J08_04890	218
B9J08_04889	37
B9J08_04888	1223
B9J08_04887	4445
B9J08_04886	4067
B9J08_04885	1670
B9J08_04884	3758
B9J08_04883	13005
B9J08_04882	0
B9J08_04881	0
B9J08_04880	1011
B9J08_04879	177
B9J08_04878	3006
B9J08_04877	451
B9J08_04876	2932
B9J08_04875	101
B9J08_04874	1146
B9J08_04873	419
B9J08_04872	479
B9J08_04871	2635
B9J08_04870	2650
B9J08_04869	5084
B9J08_04868	8
B9J08_04867	53
B9J08_04866	115
B9J08_04865	20
B9J08_04864	46
B9J08_04863	820
B9J08_04862	3
B9J08_04861	110
B9J08_04860	9
B9J08_04859	0
B9J08_04858	0
B9J08_04857	0
B9J08_04856	1
B9J08_04855	18
B9J08_04854	2
B9J08_04853	13
B9J08_04852	1273
B9J08_04851	1590
B9J08_04850	255
B9J08_04849	125
B9J08_04848	19
B9J08_04847	17
B9J08_04846	2736
B9J08_04845	40
B9J08_04844	14
B9J08_04843	356
B9J08_04842	75
B9J08_04841	582
B9J08_04840	2695
B9J08_04839	3096
B9J08_04838	0
B9J08_04837	138
B9J08_04836	567
B9J08_04835	2074
B9J08_04834	2439
B9J08_04833	1059
B9J08_04832	1267
B9J08_04831	640
B9J08_04830	1430
B9J08_04829	584
B9J08_04828	1525
B9J08_04827	398
B9J08_04826	1462
B9J08_04825	1739
B9J08_04824	1153
B9J08_04823	1043
B9J08_04822	860
B9J08_04821	2414
B9J08_04820	633
B9J08_04819	394
B9J08_04818	776
B9J08_04817	478
B9J08_04816	5601
B9J08_04815	1084
B9J08_04814	2163
B9J08_04813	1217
B9J08_04812	2123
B9J08_04811	2079
B9J08_04810	1704
B9J08_04809	1128
B9J08_04808	889
B9J08_04807	3199
B9J08_04806	2306
B9J08_04805	1191
B9J08_04804	844
B9J08_04803	9878
B9J08_04802	9
B9J08_04801	1
B9J08_04800	680
B9J08_04799	1886
B9J08_04798	84
B9J08_04797	2862
B9J08_04796	1441
B9J08_04795	4200
B9J08_04794	4491
B9J08_04793	378
B9J08_04792	431
B9J08_04791	174
B9J08_04790	255
B9J08_04789	1381
B9J08_04788	1
B9J08_04787	207
B9J08_04786	3169
B9J08_04785	57
B9J08_04784	1683
B9J08_04783	251
B9J08_04782	1195
B9J08_04781	8564
B9J08_04780	2701
B9J08_04779	256
B9J08_04778	5445
B9J08_04777	1410
B9J08_04776	1031
B9J08_04775	347
B9J08_04774	2680
B9J08_04773	929
B9J08_04772	319
B9J08_04771	1324
B9J08_04770	1250
B9J08_04769	499
B9J08_04768	2576
B9J08_04767	641
B9J08_04766	1007
B9J08_04765	966
B9J08_04764	284
B9J08_04763	324
B9J08_04762	1357
B9J08_04761	759
B9J08_04760	1515
B9J08_04759	467
B9J08_04758	154
B9J08_04757	23984
B9J08_04756	670
B9J08_04755	17060
B9J08_04754	467
B9J08_04753	326
B9J08_04752	146
B9J08_04751	1170
B9J08_04750	53
B9J08_04749	523
B9J08_04748	643
B9J08_04747	1403
B9J08_04746	5260
B9J08_04745	1004
B9J08_04744	1724
B9J08_04743	2125
B9J08_04742	73
B9J08_04741	3518
B9J08_04740	796
B9J08_04739	3
B9J08_04738	344
B9J08_04737	8
B9J08_04736	808
B9J08_04735	20523
B9J08_04734	7389
B9J08_04733	3109
B9J08_04732	183
B9J08_04731	3352
B9J08_04730	75
B9J08_04729	11554
B9J08_04728	1348
B9J08_04727	1929
B9J08_04726	2343
B9J08_04725	40
B9J08_04724	3444
B9J08_04723	763
B9J08_04722	2922
B9J08_04721	59102
B9J08_04720	489
B9J08_04719	1485
B9J08_04718	470
B9J08_04717	854
B9J08_04716	634
B9J08_04715	6
B9J08_04714	3982
B9J08_04713	4958
B9J08_04712	456
B9J08_04711	825
B9J08_04710	934
B9J08_04709	7608
B9J08_04708	1116
B9J08_04707	3545
B9J08_04706	656
B9J08_04705	795
B9J08_04704	6077
B9J08_04703	571
B9J08_04702	7055
B9J08_04701	224
B9J08_04700	4315
B9J08_04699	469
B9J08_04698	4209
B9J08_04697	27324
B9J08_04696	892
B9J08_04695	556
B9J08_04694	2508
B9J08_04693	753
B9J08_04692	530
B9J08_04691	1853
B9J08_04690	1448
B9J08_04689	2262
B9J08_04688	4562
B9J08_04687	1425
B9J08_04686	2051
B9J08_04685	1139
B9J08_04684	0
B9J08_04683	1814
B9J08_04682	1702
B9J08_04681	674
B9J08_04680	619
B9J08_04679	3527
B9J08_04678	3401
B9J08_04677	5045
B9J08_04676	3165
B9J08_04675	2883
B9J08_04674	15
B9J08_04673	105
B9J08_04672	2642
B9J08_04671	1466
B9J08_04670	943
B9J08_04669	7104
B9J08_04668	939
B9J08_04667	3526
B9J08_04666	3231
B9J08_04665	4630
B9J08_04664	1091
B9J08_04663	2374
B9J08_04662	18647
B9J08_04661	4169
B9J08_04660	6833
B9J08_04659	37202
B9J08_04658	129
B9J08_04657	1168
B9J08_04656	9923
B9J08_04655	1462
B9J08_04654	1051
B9J08_04653	2162
B9J08_04652	962
B9J08_04651	2071
B9J08_04650	515
B9J08_04649	5541
B9J08_04648	819
B9J08_04647	10707
B9J08_04646	1012
B9J08_04645	5653
B9J08_04644	1666
B9J08_04643	2846
B9J08_04642	1643
B9J08_04641	506
B9J08_04640	5
B9J08_04639	487
B9J08_04638	1000
B9J08_04637	797
B9J08_04636	36
B9J08_04635	4488
B9J08_04634	532
B9J08_04633	684
B9J08_04632	1164
B9J08_04631	7498
B9J08_04630	2038
B9J08_04629	889
B9J08_04628	1077
B9J08_04627	3219
B9J08_04626	223
B9J08_04625	551
B9J08_04624	1568
B9J08_04623	28
B9J08_04622	726
B9J08_04621	1102
B9J08_04620	2934
B9J08_04619	2265
B9J08_04618	648
B9J08_04617	1394
B9J08_04616	4403
B9J08_04615	126
B9J08_04614	2574
B9J08_04613	1810
B9J08_04612	4839
B9J08_04611	813
B9J08_04610	3591
B9J08_04609	1928
B9J08_04608	802
B9J08_04607	3052
B9J08_04606	1501
B9J08_04605	2177
B9J08_04604	1131
B9J08_04603	1009
B9J08_04602	1256
B9J08_04601	2595
B9J08_04600	148
B9J08_04599	8457
B9J08_04598	433
B9J08_04597	3885
B9J08_04596	28
B9J08_04595	7731
B9J08_04594	764
B9J08_04593	8
B9J08_04592	6501
B9J08_04591	1374
B9J08_04590	277
B9J08_04589	3163
B9J08_04588	12
B9J08_04587	252
B9J08_04586	1867
B9J08_04585	1650
B9J08_04584	1583
B9J08_04583	1577
B9J08_04582	1603
B9J08_04581	773
B9J08_04580	1304
B9J08_04579	916
B9J08_04578	2623
B9J08_04577	10024
B9J08_04576	375
B9J08_04575	698
B9J08_04574	49
B9J08_04573	1
B9J08_04572	390
B9J08_04571	3362
B9J08_04570	4005
B9J08_04569	628
B9J08_04568	1682
B9J08_04567	3669
B9J08_04566	3901
B9J08_04565	492
B9J08_04564	3581
B9J08_04563	3526
B9J08_04562	274
B9J08_04561	279
B9J08_04560	14173
B9J08_04559	324
B9J08_04558	603
B9J08_04557	521
B9J08_04556	5
B9J08_04555	495
B9J08_04554	6207
B9J08_04553	1457
B9J08_04552	1389
B9J08_04551	693
B9J08_04550	3814
B9J08_04549	6805
B9J08_04548	403
B9J08_04547	602
B9J08_04546	5987
B9J08_04545	1321
B9J08_04544	2738
B9J08_04543	41
B9J08_04542	1554
B9J08_04541	0
B9J08_04540	2007
B9J08_04539	1162
B9J08_04538	192452
B9J08_04537	1280
B9J08_04536	138415
B9J08_04535	1418
B9J08_04534	1194
B9J08_04533	42991
B9J08_04532	123
B9J08_04531	1631
B9J08_04530	3671
B9J08_04529	1279
B9J08_04528	1232
B9J08_04527	250
B9J08_04526	406
B9J08_04525	2298
B9J08_04524	1289
B9J08_04523	1003
B9J08_04522	4
B9J08_04521	23
B9J08_04520	38162
B9J08_04519	6
B9J08_04518	640
B9J08_04517	647
B9J08_04516	1943
B9J08_04515	809
B9J08_04514	1152
B9J08_04513	10758
B9J08_04512	94
B9J08_04511	746
B9J08_04510	330
B9J08_04509	9013
B9J08_04508	1059
B9J08_04507	709
B9J08_04506	81
B9J08_04505	3
B9J08_04504	114
B9J08_04503	9729
B9J08_04502	1132
B9J08_04501	1921
B9J08_04500	2715
B9J08_04499	3010
B9J08_04498	215
B9J08_04497	248
B9J08_04496	41
B9J08_04495	29
B9J08_04494	327
B9J08_04493	149
B9J08_04492	40
B9J08_04491	1573
B9J08_04490	96
B9J08_04489	12553
B9J08_04488	7680
B9J08_04487	1427
B9J08_04486	585
B9J08_04485	900
B9J08_04484	21
B9J08_04483	251
B9J08_04482	2236
B9J08_04481	92
B9J08_04480	650
B9J08_04479	2020
B9J08_04478	575
B9J08_04477	1640
B9J08_04476	1070
B9J08_04475	1983
B9J08_04474	96
B9J08_04473	171
B9J08_04472	223
B9J08_04471	3684
B9J08_04470	3034
B9J08_04469	6268
B9J08_04468	6170
B9J08_04467	1032
B9J08_04466	659
B9J08_04465	2629
B9J08_04464	1773
B9J08_04463	8499
B9J08_04462	3551
B9J08_04461	2980
B9J08_04460	2999
B9J08_04459	13444
B9J08_04458	10799
B9J08_04457	312
B9J08_04456	2129
B9J08_04455	1159
B9J08_04454	566
B9J08_04453	1210
B9J08_04452	7830
B9J08_04451	257
B9J08_04450	6218
B9J08_04449	653
B9J08_04448	12398
B9J08_04447	459
B9J08_04446	2159
B9J08_04445	1528
B9J08_04444	16102
B9J08_04443	1242
B9J08_04442	550
B9J08_04441	657
B9J08_04440	4
B9J08_04439	547
B9J08_04438	511
B9J08_04437	388
B9J08_04436	18
B9J08_04435	432
B9J08_04434	1173
B9J08_04433	411
B9J08_04432	1016
B9J08_04431	19
B9J08_04430	9
B9J08_04429	0
B9J08_04428	1
B9J08_04427	567
B9J08_04426	690
B9J08_04425	246
B9J08_04424	2494
B9J08_04423	1064
B9J08_04422	16
B9J08_04421	9
B9J08_04420	2029
B9J08_04419	57
B9J08_04418	18167
B9J08_04417	5699
B9J08_04416	1429
B9J08_04415	0
B9J08_04414	0
B9J08_04413	875
B9J08_04412	882
B9J08_04411	3911
B9J08_04410	10275
B9J08_04409	291
B9J08_04408	1431
B9J08_04407	2870
B9J08_04406	4239
B9J08_04405	1499
B9J08_04404	2155
B9J08_04403	1414
B9J08_04402	916
B9J08_04401	230
B9J08_04400	352
B9J08_04399	2079
B9J08_04398	41
B9J08_04397	2829
B9J08_04396	473
B9J08_04395	1116
B9J08_04394	1253
B9J08_04393	2407
B9J08_04392	7317
B9J08_04391	4770
B9J08_04390	3389
B9J08_04389	1180
B9J08_04388	502
B9J08_04387	17724
B9J08_04386	200
B9J08_04385	714
B9J08_04384	676
B9J08_04383	5817
B9J08_04382	1922
B9J08_04381	11254
B9J08_04380	444
B9J08_04379	5157
B9J08_04378	743
B9J08_04377	0
B9J08_04376	47
B9J08_04375	1095
B9J08_04374	229
B9J08_04373	5
B9J08_04372	807
B9J08_04371	1926
B9J08_04370	7247
B9J08_04369	13
B9J08_04368	817
B9J08_04367	260
B9J08_04366	969
B9J08_04365	1372
B9J08_04364	339
B9J08_04363	6160
B9J08_04362	810
B9J08_04361	823
B9J08_04360	4961
B9J08_04359	647
B9J08_04358	2232
B9J08_04357	0
B9J08_04356	389
B9J08_04355	2025
B9J08_04354	628
B9J08_04353	1821
B9J08_04352	466
B9J08_04351	1741
B9J08_04350	4029
B9J08_04349	726
B9J08_04348	0
B9J08_04347	1297
B9J08_04346	1449
B9J08_04345	649
B9J08_04344	895
B9J08_04343	946
B9J08_04342	358
B9J08_04341	1803
B9J08_04340	67222
B9J08_04339	989
B9J08_04338	1958
B9J08_04337	980
B9J08_04336	747
B9J08_04335	4182
B9J08_04334	860
B9J08_04333	2128
B9J08_04332	974
B9J08_04331	1846
B9J08_04330	5435
B9J08_04329	3892
B9J08_04328	4175
B9J08_04327	1001
B9J08_04326	4214
B9J08_04325	1912
B9J08_04324	581
B9J08_04323	4539
B9J08_04322	861
B9J08_04321	2151
B9J08_04320	3201
B9J08_04319	1064
B9J08_04318	549
B9J08_04317	2923
B9J08_04316	1693
B9J08_04315	2749
B9J08_04314	6
B9J08_04313	1242
B9J08_04312	1089
B9J08_04311	2423
B9J08_04310	7174
B9J08_04309	2238
B9J08_04308	1333
B9J08_04307	2616
B9J08_04306	1655
B9J08_04305	789
B9J08_04304	358
B9J08_04303	0
B9J08_04302	3012
B9J08_04301	1800
B9J08_04300	1997
B9J08_04299	516
B9J08_04298	1110
B9J08_04297	839
B9J08_04296	1765
B9J08_04295	1301
B9J08_04294	1259
B9J08_04293	2183
